status,name,instructions,instructions Δ,instructions Δ%,heap_increase,heap_increase Δ,heap_increase Δ%,stable_memory_increase,stable_memory_increase Δ,stable_memory_increase Δ%
,btreemap_insert_blob_1024_16,5211074337,0,0.00%,52,0,0.00%,241,0,0.00%
,btreemap_insert_blob_1024_16::node_load_v1,4395294750,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_16::node_save_v1,164722892,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_16_v2,5297454832,0,0.00%,52,0,0.00%,181,0,0.00%
,btreemap_insert_blob_1024_16_v2::node_load_v2,4456791682,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_16_v2::node_save_v2,191405846,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_256,5251223699,0,0.00%,52,0,0.00%,292,0,0.00%
,btreemap_insert_blob_1024_256::node_load_v1,4364522733,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_256::node_save_v1,189602900,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_256_v2,5334417656,0,0.00%,52,0,0.00%,219,0,0.00%
,btreemap_insert_blob_1024_256_v2::node_load_v2,4422741202,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_256_v2::node_save_v2,215932923,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_32,5223357705,0,0.00%,52,0,0.00%,239,0,0.00%
,btreemap_insert_blob_1024_32::node_load_v1,4390154180,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_32::node_save_v1,165945553,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_32_v2,5286863881,0,0.00%,52,0,0.00%,180,0,0.00%
,btreemap_insert_blob_1024_32_v2::node_load_v2,4439402744,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_32_v2::node_save_v2,192496375,0,0.00%,0,0,0.00%,1,0,0.00%
,btreemap_insert_blob_1024_4,5115589244,0,0.00%,52,0,0.00%,235,0,0.00%
,btreemap_insert_blob_1024_4::node_load_v1,4395654409,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_4::node_save_v1,159350369,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_4_v2,5224787867,0,0.00%,52,0,0.00%,176,0,0.00%
,btreemap_insert_blob_1024_4_v2::node_load_v2,4453236660,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_4_v2::node_save_v2,186016034,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_512,5342088284,0,0.00%,52,0,0.00%,348,0,0.00%
,btreemap_insert_blob_1024_512::node_load_v1,4370417429,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_512::node_save_v1,225386175,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_512_v2,5416154864,0,0.00%,52,0,0.00%,261,0,0.00%
,btreemap_insert_blob_1024_512_v2::node_load_v2,4425642216,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_512_v2::node_save_v2,249103376,0,0.00%,0,0,0.00%,0,0,0.00%
